Order	Model	Interval	Threshold	Precision	Recall	Auc	Auc >= 0.70
random	deffuant_p	150	0.6	0.6492094861660079	0.7157142857142857	0.7157142857142857	YES
random	deffuant_p	150	0.7	0.6074468085106383	0.6442857142857142	0.6442857142857144	NO
random	deffuant_p	150	0.8	0.5739795918367347	0.5828571428571429	0.5828571428571427	NO
random	deffuant_p	150	0.9	0.5928571428571429	0.5928571428571429	0.5928571428571427	NO
random	hk_0.50_p	150	0.05	0.6466836734693877	0.6642857142857143	0.6642857142857144	NO
random	hk_0.50_p	150	0.1	0.5928571428571429	0.5928571428571429	0.5928571428571427	NO
random	hk_0.50_p	150	0.2	0.5928571428571429	0.5928571428571429	0.5928571428571427	NO
random	hk_0.50_p	150	0.3	0.6176470588235294	0.6028571428571429	0.6028571428571429	NO
random	hk_0.50_p	150	0.4	0.6176470588235294	0.6028571428571429	0.6028571428571429	NO
random	hk_0.50_p	150	0.5	0.6176470588235294	0.6028571428571429	0.6028571428571429	NO
random	hk_0.50_p	150	0.6	0.6176470588235294	0.6028571428571429	0.6028571428571429	NO
random	hk_0.50_p	150	0.7	0.6176470588235294	0.6028571428571429	0.6028571428571429	NO
random	hk_0.50_p	150	0.8	0.6176470588235294	0.6028571428571429	0.6028571428571429	NO
random	hk_0.50_p	150	0.9	0.6176470588235294	0.6028571428571429	0.6028571428571429	NO
random	hk_1.0_p	150	0.05	0.6909722222222222	0.7357142857142858	0.7357142857142858	YES
random	hk_1.0_p	150	0.1	0.6909722222222222	0.7357142857142858	0.7357142857142858	YES
random	hk_1.0_p	150	0.2	0.6909722222222222	0.7357142857142858	0.7357142857142858	YES
random	hk_1.0_p	150	0.3	0.6909722222222222	0.7357142857142858	0.7357142857142858	YES
random	hk_1.0_p	150	0.4	0.6466836734693877	0.6642857142857143	0.6642857142857144	NO
random	hk_1.0_p	150	0.5	0.6466836734693877	0.6642857142857143	0.6642857142857144	NO
random	hk_1.0_p	150	0.6	0.6466836734693877	0.6642857142857143	0.6642857142857144	NO
random	hk_1.0_p	150	0.7	0.5928571428571429	0.5928571428571429	0.5928571428571427	NO
random	hk_1.0_p	150	0.8	0.6176470588235294	0.6028571428571429	0.6028571428571429	NO
random	hk_1.0_p	150	0.9	0.6519230769230769	0.6128571428571428	0.6128571428571428	NO
random	voter	50	0.05	0.4351851851851852	0.47	0.47	NO
random	voter	50	0.1	0.4351851851851852	0.47	0.47	NO
random	voter	50	0.2	0.4351851851851852	0.47	0.47	NO
random	voter	50	0.3	0.4351851851851852	0.47	0.47	NO
random	voter	50	0.4	0.4351851851851852	0.47	0.47	NO
random	voter	50	0.5	0.4351851851851852	0.47	0.47	NO
random	voter	50	0.6	0.4351851851851852	0.47	0.47	NO
random	voter	50	0.7	0.4351851851851852	0.47	0.47	NO
random	voter	50	0.8	0.4351851851851852	0.47	0.47	NO
random	voter	50	0.9	0.4351851851851852	0.47	0.47	NO
random	deffuant_p	50	0.05	0.7055335968379447	0.7971428571428572	0.7971428571428572	YES
random	deffuant_p	50	0.1	0.7055335968379447	0.7971428571428572	0.7971428571428572	YES
random	deffuant_p	50	0.2	0.7055335968379447	0.7971428571428572	0.7971428571428572	YES
random	deffuant_p	50	0.3	0.7055335968379447	0.7971428571428572	0.7971428571428572	YES
random	deffuant_p	50	0.4	0.6680851063829787	0.7257142857142858	0.7257142857142856	YES
random	deffuant_p	50	0.5	0.6909722222222222	0.7357142857142858	0.7357142857142858	YES
random	deffuant_p	50	0.6	0.7193877551020409	0.7457142857142858	0.7457142857142858	YES
random	deffuant_p	50	0.7	0.6742857142857143	0.6742857142857143	0.6742857142857143	NO
random	deffuant_p	50	0.8	0.6176470588235294	0.6028571428571429	0.6028571428571429	NO
random	deffuant_p	50	0.9	0.6176470588235294	0.6028571428571429	0.6028571428571429	NO
random	hk_0.50_p	50	0.05	0.7107843137254901	0.6842857142857143	0.6842857142857143	NO
random	hk_0.50_p	50	0.1	0.6519230769230769	0.6128571428571428	0.6128571428571428	NO
random	hk_0.50_p	50	0.2	0.6519230769230769	0.6128571428571428	0.6128571428571428	NO
random	hk_0.50_p	50	0.3	0.7028301886792453	0.6228571428571428	0.6228571428571428	NO
random	hk_0.50_p	50	0.4	0.7028301886792453	0.6228571428571428	0.6228571428571428	NO
random	hk_0.50_p	50	0.5	0.7028301886792453	0.6228571428571428	0.6228571428571428	NO
random	hk_0.50_p	50	0.6	0.7028301886792453	0.6228571428571428	0.6228571428571428	NO
random	hk_0.50_p	50	0.7	0.7028301886792453	0.6228571428571428	0.6228571428571428	NO
random	hk_0.50_p	50	0.8	0.7028301886792453	0.6228571428571428	0.6228571428571428	NO
random	hk_0.50_p	50	0.9	0.7028301886792453	0.6228571428571428	0.6228571428571428	NO
random	hk_1.0_p	50	0.05	0.7557142857142857	0.7557142857142857	0.7557142857142857	YES
random	hk_1.0_p	50	0.1	0.7557142857142857	0.7557142857142857	0.7557142857142857	YES
random	hk_1.0_p	50	0.2	0.7557142857142857	0.7557142857142857	0.7557142857142857	YES
random	hk_1.0_p	50	0.3	0.7557142857142857	0.7557142857142857	0.7557142857142857	YES
random	hk_1.0_p	50	0.4	0.7107843137254901	0.6842857142857143	0.6842857142857143	NO
random	hk_1.0_p	50	0.5	0.7107843137254901	0.6842857142857143	0.6842857142857143	NO
random	hk_1.0_p	50	0.6	0.7107843137254901	0.6842857142857143	0.6842857142857143	NO
random	hk_1.0_p	50	0.7	0.6519230769230769	0.6128571428571428	0.6128571428571428	NO
random	hk_1.0_p	50	0.8	0.6519230769230769	0.6128571428571428	0.6128571428571428	NO
random	hk_1.0_p	50	0.9	0.6519230769230769	0.6128571428571428	0.6128571428571428	NO
random	voter	200	0.05	0.43636363636363634	0.48	0.48	NO
random	voter	200	0.1	0.43636363636363634	0.48	0.48	NO
random	voter	200	0.2	0.43636363636363634	0.48	0.48	NO
random	voter	200	0.3	0.43636363636363634	0.48	0.48	NO
random	voter	200	0.4	0.43636363636363634	0.48	0.48	NO
random	voter	200	0.5	0.43636363636363634	0.48	0.48	NO
random	voter	200	0.6	0.43636363636363634	0.48	0.48	NO
random	voter	200	0.7	0.43636363636363634	0.48	0.48	NO
random	voter	200	0.8	0.43636363636363634	0.48	0.48	NO
random	voter	200	0.9	0.43636363636363634	0.48	0.48	NO
random	deffuant_p	200	0.05	0.6553156146179402	0.7671428571428571	0.7671428571428572	YES
random	deffuant_p	200	0.1	0.6553156146179402	0.7671428571428571	0.7671428571428572	YES
random	deffuant_p	200	0.2	0.6553156146179402	0.7671428571428571	0.7671428571428572	YES
random	deffuant_p	200	0.3	0.6553156146179402	0.7671428571428571	0.7671428571428572	YES
random	deffuant_p	200	0.4	0.6197552447552448	0.6957142857142857	0.6957142857142857	NO
random	deffuant_p	200	0.5	0.6333333333333333	0.7057142857142857	0.7057142857142856	YES
random	deffuant_p	200	0.6	0.6492094861660079	0.7157142857142857	0.7157142857142857	YES
random	deffuant_p	200	0.7	0.6074468085106383	0.6442857142857142	0.6442857142857144	NO
random	deffuant_p	200	0.8	0.5739795918367347	0.5828571428571429	0.5828571428571427	NO
random	deffuant_p	200	0.9	0.5928571428571429	0.5928571428571429	0.5928571428571427	NO
random	hk_0.50_p	200	0.05	0.6466836734693877	0.6642857142857143	0.6642857142857144	NO
random	hk_0.50_p	200	0.1	0.5928571428571429	0.5928571428571429	0.5928571428571427	NO
random	hk_0.50_p	200	0.2	0.5928571428571429	0.5928571428571429	0.5928571428571427	NO
random	hk_0.50_p	200	0.3	0.6176470588235294	0.6028571428571429	0.6028571428571429	NO
random	hk_0.50_p	200	0.4	0.6176470588235294	0.6028571428571429	0.6028571428571429	NO
random	hk_0.50_p	200	0.5	0.6176470588235294	0.6028571428571429	0.6028571428571429	NO
random	hk_0.50_p	200	0.6	0.6176470588235294	0.6028571428571429	0.6028571428571429	NO
random	hk_0.50_p	200	0.7	0.6176470588235294	0.6028571428571429	0.6028571428571429	NO
random	hk_0.50_p	200	0.8	0.6176470588235294	0.6028571428571429	0.6028571428571429	NO
random	hk_0.50_p	200	0.9	0.6176470588235294	0.6028571428571429	0.6028571428571429	NO
random	hk_1.0_p	200	0.05	0.6909722222222222	0.7357142857142858	0.7357142857142858	YES
random	hk_1.0_p	200	0.1	0.6909722222222222	0.7357142857142858	0.7357142857142858	YES
random	hk_1.0_p	200	0.2	0.6909722222222222	0.7357142857142858	0.7357142857142858	YES
random	hk_1.0_p	200	0.3	0.6909722222222222	0.7357142857142858	0.7357142857142858	YES
random	hk_1.0_p	200	0.4	0.6466836734693877	0.6642857142857143	0.6642857142857144	NO
random	hk_1.0_p	200	0.5	0.6466836734693877	0.6642857142857143	0.6642857142857144	NO
random	hk_1.0_p	200	0.6	0.6466836734693877	0.6642857142857143	0.6642857142857144	NO
random	hk_1.0_p	200	0.7	0.5928571428571429	0.5928571428571429	0.5928571428571427	NO
